user_id,user_name,user_url,taste_cnt,follower_cnt,following_cnt
263,sheilaruth91,https://distiller.com/profile/sheilaruth91,0,1,12
264,TheWhiskeyGuy,https://distiller.com/profile/thewhiskeyguy,0,0,20
265,Tungshing89,https://distiller.com/profile/tungshing89,17,0,1
266,mgessig,https://distiller.com/profile/mgessig,5,0,3
267,Scotch_Johnny,https://distiller.com/profile/scotch_johnny,126,3,7
268,TSengine80,https://distiller.com/profile/tsengine80,43,4,8
269,Raichu95,https://distiller.com/profile/raichu95,22,1,11
270,Robin_Abarth,https://distiller.com/profile/robin_abarth,18,1,11
271,Amos-Mwanza,https://distiller.com/profile/amos-mwanza,0,3,4
272,DigitalArc,https://distiller.com/profile/digitalarc,125,76,78
273,Nick-Fendig,https://distiller.com/profile/nick-fendig,4,0,7
274,ETowey29,https://distiller.com/profile/etowey29,1,0,16
275,r8gingbull,https://distiller.com/profile/r8gingbull,2,1,16
276,DavidWomack,https://distiller.com/profile/davidwomack,0,0,4
277,MattW,https://distiller.com/profile/mattw,10,4,7
278,fredfal,https://distiller.com/profile/fredfal,4,0,148
279,Jeremy-Flores,https://distiller.com/profile/jeremy-flores,1,0,2
280,NCBluesman,https://distiller.com/profile/ncbluesman,0,0,4
281,Rlechner,https://distiller.com/profile/rlechner,200,8,13
282,ulmerpreston,https://distiller.com/profile/ulmerpreston,0,0,2
283,varly,https://distiller.com/profile/varly,0,0,1
284,Russ3856,https://distiller.com/profile/russ3856,21,0,11
285,linlin,https://distiller.com/profile/linlin,2,1,1
286,Shawn-Roh,https://distiller.com/profile/shawn-roh,1,0,11
287,Gary-Davis1,https://distiller.com/profile/gary-davis1,0,0,3
288,Jared-Jantzi,https://distiller.com/profile/jared-jantzi,5,1,6
289,Matt-Wisner,https://distiller.com/profile/matt-wisner,2,0,2
290,joshuadrinks,https://distiller.com/profile/joshuadrinks,8,0,4
291,rooney,https://distiller.com/profile/rooney,32,1,10
292,ramosraaage,https://distiller.com/profile/ramosraaage,8,0,1
293,Boozer_Man1269,https://distiller.com/profile/boozer_man1269,3,0,14
294,yonkel,https://distiller.com/profile/yonkel,31,8,30
295,brendo,https://distiller.com/profile/brendo,1,1,1
296,RLYC,https://distiller.com/profile/rlyc,4,1,3
297,dmoyer,https://distiller.com/profile/dmoyer,85,50,52
298,Ronnie-Schroer,https://distiller.com/profile/ronnie-schroer,2,0,2
299,DavidEarls101,https://distiller.com/profile/davidearls101,0,0,7
300,TeeMonster,https://distiller.com/profile/teemonster,10,13,12
301,MrG,https://distiller.com/profile/mrg,4,0,8
302,mobusml,https://distiller.com/profile/mobusml,85,0,2
303,Matthew-T-Hawley,https://distiller.com/profile/matthew-t-hawley,8,1,1
304,DCTarheel,https://distiller.com/profile/dctarheel,13,0,8
305,SSpiva666,https://distiller.com/profile/sspiva666,6,0,7
306,TheWhiskeyNose,https://distiller.com/profile/thewhiskeynose,31,4,16
307,gregs1992,https://distiller.com/profile/gregs1992,15,0,1
308,xraybourbon,https://distiller.com/profile/xraybourbon,77,3,3
309,NewLeaf100,https://distiller.com/profile/newleaf100,0,0,8
310,WhiskeyMike901,https://distiller.com/profile/whiskeymike901,55,172,18
311,Justin-McManus,https://distiller.com/profile/justin-mcmanus,0,0,1
312,frankiefiner,https://distiller.com/profile/frankiefiner,11,0,1
313,Bobby-Lee-E-Phelps,https://distiller.com/profile/bobby-lee-e-phelps,4,1,18
314,johnnylz,https://distiller.com/profile/johnnylz,0,0,1
315,Armanoluk,https://distiller.com/profile/armanoluk,2,0,1
316,Rachel-Peracchi,https://distiller.com/profile/rachel-peracchi,1,0,15
317,Heyward09,https://distiller.com/profile/heyward09,0,0,1
318,JonBailey2013,https://distiller.com/profile/jonbailey2013,22,4,19
319,rickmcq,https://distiller.com/profile/rickmcq,4,0,3
320,Stephen-Hammill,https://distiller.com/profile/stephen-hammill,4,4,4
321,neehooya,https://distiller.com/profile/neehooya,4,0,1
322,Ldrmnn,https://distiller.com/profile/ldrmnn,1,1,5
